========================================================================================
Trioron 2.0 Axis 6 — real-substrate, n=3 seeds
H_init=4  mode=absolute  k=1.0  floor=0.005  b_thr=1.0  sigma=1.5  dt=0.1  tol=0.0  spawn_cap=3  cooldown=50  credit_thr=0.1
========================================================================================
  [linear] epoch   0: loss=1.2544  acc=0.543  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 100: loss=0.2429  acc=0.967  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 199: loss=0.2373  acc=0.970  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch   0: loss=1.1085  acc=0.487  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 100: loss=0.2474  acc=0.963  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 200: loss=0.2259  acc=0.973  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 300: loss=0.2174  acc=0.977  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 399: loss=0.2185  acc=0.963  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch   0: loss=2.0052  acc=0.387  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 100: loss=0.3150  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 200: loss=0.2830  acc=0.957  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 300: loss=0.2813  acc=0.950  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 399: loss=0.2806  acc=0.947  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch   0: loss=3.1554  acc=0.450  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 100: loss=0.2869  acc=0.940  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 200: loss=0.2795  acc=0.950  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 300: loss=0.2714  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 399: loss=0.2663  acc=0.957  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch   0: loss=4.9262  acc=0.183  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 100: loss=0.1906  acc=0.980  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 200: loss=0.0884  acc=0.987  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 300: loss=0.0502  acc=0.987  H=4  epi_A_max=0.000  epi_B_max=0.000
  [stripe] epoch 399: loss=0.0385  acc=0.990  H=4  epi_A_max=0.000  epi_B_max=0.000
[seed 0  arm BASELINE_frozen ]  max|drift|=0.623  sum_final=3.240  H=4  spawns=0  frozen=0
  [linear] epoch   0: loss=1.2544  acc=0.543  H=4  epi_A_max=0.000  epi_B_max=0.063
  [linear] epoch 100: loss=0.2429  acc=0.967  H=4  epi_A_max=0.005  epi_B_max=0.783
  [linear] epoch 199: loss=0.0682  acc=0.987  H=6  epi_A_max=0.005  epi_B_max=1.301
  [XOR] epoch   0: loss=1.1178  acc=0.487  H=6  epi_A_max=0.000  epi_B_max=0.131
  [XOR] epoch 100: loss=0.2448  acc=0.977  H=7  epi_A_max=0.006  epi_B_max=1.096
  [XOR] epoch 200: loss=0.2097  acc=0.987  H=9  epi_A_max=0.014  epi_B_max=1.173
  [XOR] epoch 300: loss=0.1813  acc=0.993  H=9  epi_A_max=0.022  epi_B_max=1.219
  [XOR] epoch 399: loss=0.1653  acc=0.990  H=9  epi_A_max=0.030  epi_B_max=1.301
  [rings] epoch   0: loss=1.7261  acc=0.483  H=9  epi_A_max=0.000  epi_B_max=0.131
  [rings] epoch 100: loss=0.2500  acc=0.977  H=10  epi_A_max=0.007  epi_B_max=1.131
  [rings] epoch 200: loss=0.2383  acc=0.973  H=12  epi_A_max=0.011  epi_B_max=0.847
  [rings] epoch 300: loss=0.1725  acc=0.977  H=12  epi_A_max=0.015  epi_B_max=0.841
  [rings] epoch 399: loss=0.1606  acc=0.977  H=12  epi_A_max=0.018  epi_B_max=0.711
  [diamond] epoch   0: loss=2.5375  acc=0.340  H=12  epi_A_max=0.000  epi_B_max=0.070
  [diamond] epoch 100: loss=0.2148  acc=0.957  H=12  epi_A_max=0.004  epi_B_max=0.897
  [diamond] epoch 200: loss=0.1549  acc=0.967  H=14  epi_A_max=0.006  epi_B_max=0.854
  [diamond] epoch 300: loss=0.1276  acc=0.973  H=15  epi_A_max=0.009  epi_B_max=0.834
  [diamond] epoch 399: loss=0.1066  acc=0.977  H=15  epi_A_max=0.011  epi_B_max=1.047
  [stripe] epoch   0: loss=1.2308  acc=0.223  H=15  epi_A_max=0.000  epi_B_max=0.106
  [stripe] epoch 100: loss=0.0489  acc=0.993  H=15  epi_A_max=0.003  epi_B_max=1.574
  [stripe] epoch 200: loss=0.0337  acc=0.993  H=16  epi_A_max=0.006  epi_B_max=1.726
  [stripe] epoch 300: loss=0.0374  acc=0.990  H=18  epi_A_max=0.008  epi_B_max=1.723
  [stripe] epoch 399: loss=0.0312  acc=0.993  H=18  epi_A_max=0.009  epi_B_max=1.751
[seed 0  arm AXIS6_emerge    ]  max|drift|=0.513  sum_final=3.287  H=18  spawns=14  frozen=0
  [linear] epoch   0: loss=1.2544  acc=0.543  H=4  epi_A_max=0.000  epi_B_max=0.063
  [linear] epoch 100: loss=0.2429  acc=0.967  H=4  epi_A_max=0.005  epi_B_max=0.783
  [linear] epoch 199: loss=0.0682  acc=0.987  H=6  epi_A_max=0.005  epi_B_max=1.301
  [XOR] epoch   0: loss=1.1178  acc=0.487  H=6  epi_A_max=0.000  epi_B_max=0.131
  [XOR] epoch 100: loss=0.4476  acc=0.863  H=7  epi_A_max=0.006  epi_B_max=1.308
  [XOR] epoch 200: loss=0.3212  acc=0.927  H=9  epi_A_max=0.010  epi_B_max=1.308
  [XOR] epoch 300: loss=0.2819  acc=0.940  H=9  epi_A_max=0.019  epi_B_max=1.308
  [XOR] epoch 399: loss=0.2809  acc=0.933  H=9  epi_A_max=0.029  epi_B_max=1.308
  [rings] epoch   0: loss=1.8853  acc=0.527  H=9  epi_A_max=0.000  epi_B_max=0.131
  [rings] epoch 100: loss=0.2759  acc=0.960  H=11  epi_A_max=0.009  epi_B_max=1.308
  [rings] epoch 200: loss=0.2651  acc=0.977  H=12  epi_A_max=0.016  epi_B_max=1.308
  [rings] epoch 300: loss=0.2641  acc=0.977  H=12  epi_A_max=0.025  epi_B_max=1.308
  [rings] epoch 399: loss=0.2637  acc=0.970  H=12  epi_A_max=0.033  epi_B_max=1.308
  [diamond] epoch   0: loss=4.8973  acc=0.517  H=12  epi_A_max=0.000  epi_B_max=0.131
  [diamond] epoch 100: loss=0.2772  acc=0.920  H=14  epi_A_max=0.009  epi_B_max=1.308
  [diamond] epoch 200: loss=0.2291  acc=0.933  H=15  epi_A_max=0.016  epi_B_max=1.308
  [diamond] epoch 300: loss=0.2074  acc=0.957  H=15  epi_A_max=0.023  epi_B_max=1.308
  [diamond] epoch 399: loss=0.2010  acc=0.960  H=15  epi_A_max=0.032  epi_B_max=1.308
  [stripe] epoch   0: loss=1.1059  acc=0.160  H=15  epi_A_max=0.000  epi_B_max=0.131
  [stripe] epoch 100: loss=0.1369  acc=0.983  H=16  epi_A_max=0.007  epi_B_max=1.308
  [stripe] epoch 200: loss=0.0737  acc=0.983  H=18  epi_A_max=0.010  epi_B_max=1.308
  [stripe] epoch 300: loss=0.0411  acc=0.987  H=18  epi_A_max=0.013  epi_B_max=1.308
  [stripe] epoch 399: loss=0.0297  acc=0.990  H=18  epi_A_max=0.016  epi_B_max=1.308
[seed 0  arm AXIS6_credit    ]  max|drift|=0.000  sum_final=4.847  H=18  spawns=14  frozen=17
  [linear] epoch   0: loss=1.4297  acc=0.097  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 100: loss=0.3131  acc=0.970  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 199: loss=0.3130  acc=0.973  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch   0: loss=1.1428  acc=0.360  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 100: loss=0.8169  acc=0.670  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 200: loss=0.8167  acc=0.670  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 300: loss=0.8167  acc=0.670  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 399: loss=0.8167  acc=0.670  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch   0: loss=1.0380  acc=0.130  H=4  epi_A_max=0.000  epi_B_max=0.000
