    [dream single] ep0 loss=3.371 (12500 pseudo)
    [dream single] ep7 loss=1.901 (12500 pseudo)
single leaf 800-d: full=0.3452 task=0.5288 | blur 0.0952
    [dream k5 band0 n=4225] ep0 loss=3.932 (4225 pseudo)
    [dream k5 band0 n=4225] ep7 loss=1.988 (4225 pseudo)
    [dream k5 band1 n=321] ep0 loss=4.569 (321 pseudo)
    [dream k5 band1 n=321] ep7 loss=1.279 (321 pseudo)
    [dream k5 band2 n=3977] ep0 loss=4.045 (3977 pseudo)
    [dream k5 band2 n=3977] ep7 loss=2.174 (3977 pseudo)
    [dream k5 band3 n=1750] ep0 loss=4.364 (1750 pseudo)
    [dream k5 band3 n=1750] ep7 loss=1.782 (1750 pseudo)
    [dream k5 band4 n=2227] ep0 loss=4.173 (2227 pseudo)
    [dream k5 band4 n=2227] ep7 loss=2.170 (2227 pseudo)
k= 5 [clean] hard-route full=0.3216 task=0.5016 | soft full=0.3228 task=0.5004 | uniform-mix full=0.2664 task=0.4476   (band sizes min/max 321/4225, params ~225K)
k= 5 [blur] hard-route full=0.1220 task=0.3116 | soft full=0.1244 task=0.2968 | uniform-mix full=0.0576 task=0.2076   (band sizes min/max 321/4225, params ~225K)
    [dream k10 band0 n=2587] ep0 loss=4.222 (2587 pseudo)
    [dream k10 band0 n=2587] ep7 loss=2.346 (2587 pseudo)
    [dream k10 band1 n=915] ep0 loss=4.546 (915 pseudo)
    [dream k10 band1 n=915] ep7 loss=2.470 (915 pseudo)
    [dream k10 band2 n=1655] ep0 loss=4.516 (1655 pseudo)
    [dream k10 band2 n=1655] ep7 loss=2.179 (1655 pseudo)
    [dream k10 band3 n=754] ep0 loss=4.537 (754 pseudo)
    [dream k10 band3 n=754] ep7 loss=1.811 (754 pseudo)
    [dream k10 band4 n=735] ep0 loss=4.526 (735 pseudo)
    [dream k10 band4 n=735] ep7 loss=2.446 (735 pseudo)
    [dream k10 band5 n=231] ep0 loss=4.608 (231 pseudo)
    [dream k10 band5 n=231] ep7 loss=1.497 (231 pseudo)
    [dream k10 band6 n=1779] ep0 loss=4.396 (1779 pseudo)
    [dream k10 band6 n=1779] ep7 loss=2.312 (1779 pseudo)
    [dream k10 band7 n=1554] ep0 loss=4.488 (1554 pseudo)
    [dream k10 band7 n=1554] ep7 loss=2.297 (1554 pseudo)
    [dream k10 band8 n=339] ep0 loss=4.592 (339 pseudo)
    [dream k10 band8 n=339] ep7 loss=2.436 (339 pseudo)
    [dream k10 band9 n=1951] ep0 loss=4.474 (1951 pseudo)
    [dream k10 band9 n=1951] ep7 loss=2.168 (1951 pseudo)
k=10 [clean] hard-route full=0.2920 task=0.4824 | soft full=0.3180 task=0.5008 | uniform-mix full=0.2600 task=0.4508   (band sizes min/max 231/2587, params ~450K)
k=10 [blur] hard-route full=0.1112 task=0.3192 | soft full=0.1072 task=0.3192 | uniform-mix full=0.0776 task=0.2404   (band sizes min/max 231/2587, params ~450K)
    [dream k25 band0 n=946] ep0 loss=4.526 (946 pseudo)
    [dream k25 band0 n=946] ep7 loss=2.607 (946 pseudo)
    [dream k25 band1 n=313] ep0 loss=4.606 (313 pseudo)
    [dream k25 band1 n=313] ep7 loss=2.801 (313 pseudo)
    [dream k25 band2 n=561] ep0 loss=4.591 (561 pseudo)
    [dream k25 band2 n=561] ep7 loss=2.664 (561 pseudo)
    [dream k25 band3 n=402] ep0 loss=4.574 (402 pseudo)
    [dream k25 band3 n=402] ep7 loss=1.737 (402 pseudo)
    [dream k25 band4 n=598] ep0 loss=4.576 (598 pseudo)
    [dream k25 band4 n=598] ep7 loss=2.710 (598 pseudo)
    [dream k25 band5 n=86] ep0 loss=4.616 (86 pseudo)
    [dream k25 band5 n=86] ep7 loss=1.291 (86 pseudo)
    [dream k25 band6 n=735] ep0 loss=4.583 (735 pseudo)
    [dream k25 band6 n=735] ep7 loss=2.686 (735 pseudo)
    [dream k25 band7 n=816] ep0 loss=4.573 (816 pseudo)
    [dream k25 band7 n=816] ep7 loss=2.545 (816 pseudo)
    [dream k25 band8 n=143] ep0 loss=4.612 (143 pseudo)
    [dream k25 band8 n=143] ep7 loss=2.356 (143 pseudo)
    [dream k25 band9 n=635] ep0 loss=4.589 (635 pseudo)
    [dream k25 band9 n=635] ep7 loss=2.747 (635 pseudo)
    [dream k25 band10 n=681] ep0 loss=4.569 (681 pseudo)
    [dream k25 band10 n=681] ep7 loss=2.790 (681 pseudo)
    [dream k25 band11 n=204] ep0 loss=4.608 (204 pseudo)
    [dream k25 band11 n=204] ep7 loss=2.674 (204 pseudo)
    [dream k25 band12 n=153] ep0 loss=4.608 (153 pseudo)
    [dream k25 band12 n=153] ep7 loss=3.184 (153 pseudo)
    [dream k25 band13 n=402] ep0 loss=4.590 (402 pseudo)
    [dream k25 band13 n=402] ep7 loss=2.724 (402 pseudo)
    [dream k25 band14 n=742] ep0 loss=4.579 (742 pseudo)
    [dream k25 band14 n=742] ep7 loss=2.802 (742 pseudo)
    [dream k25 band15 n=1147] ep0 loss=4.566 (1147 pseudo)
    [dream k25 band15 n=1147] ep7 loss=2.639 (1147 pseudo)
    [dream k25 band16 n=505] ep0 loss=4.592 (505 pseudo)
    [dream k25 band16 n=505] ep7 loss=2.991 (505 pseudo)
    [dream k25 band17 n=1108] ep0 loss=4.530 (1108 pseudo)
    [dream k25 band17 n=1108] ep7 loss=2.752 (1108 pseudo)
    [dream k25 band18 n=305] ep0 loss=4.593 (305 pseudo)
    [dream k25 band18 n=305] ep7 loss=1.747 (305 pseudo)
    [dream k25 band19 n=237] ep0 loss=4.602 (237 pseudo)
    [dream k25 band19 n=237] ep7 loss=2.887 (237 pseudo)
    [dream k25 band20 n=184] ep0 loss=4.622 (184 pseudo)
    [dream k25 band20 n=184] ep7 loss=2.765 (184 pseudo)
    [dream k25 band21 n=340] ep0 loss=4.603 (340 pseudo)
    [dream k25 band21 n=340] ep7 loss=2.871 (340 pseudo)
    [dream k25 band22 n=609] ep0 loss=4.575 (609 pseudo)
    [dream k25 band22 n=609] ep7 loss=2.469 (609 pseudo)
    [dream k25 band23 n=569] ep0 loss=4.588 (569 pseudo)
    [dream k25 band23 n=569] ep7 loss=2.714 (569 pseudo)
    [dream k25 band24 n=79] ep0 loss=4.599 (79 pseudo)
    [dream k25 band24 n=79] ep7 loss=0.726 (79 pseudo)
k=25 [clean] hard-route full=0.2420 task=0.4372 | soft full=0.2484 task=0.4564 | uniform-mix full=0.1848 task=0.3748   (band sizes min/max 79/1147, params ~1125K)
k=25 [blur] hard-route full=0.0632 task=0.2308 | soft full=0.0960 task=0.2656 | uniform-mix full=0.0564 task=0.2152   (band sizes min/max 79/1147, params ~1125K)
done
